item_id,order_id,product_id,quantity,unit_price
1,1,5,1,3.5
2,2,10,1,2.6
3,3,2,1,2.8
4,3,9,1,2.6
5,3,8,1,3.1
6,4,12,1,2.7
7,4,9,1,2.6
8,5,21,1,3.2
9,5,20,1,3.9
10,5,22,1,4.0
11,6,6,2,3.7
12,7,10,1,2.6
13,7,6,2,3.7
14,8,19,2,3.8
15,8,1,1,2.5
16,9,7,2,3.3
17,10,7,2,3.3
18,10,9,1,2.6
19,11,3,1,3.2
20,11,22,1,4.0
21,12,21,1,3.2
22,13,21,1,3.2
23,14,5,1,3.5
24,15,3,1,3.2
25,16,22,1,4.0
26,16,2,1,2.8
27,16,6,2,3.7
28,17,3,1,3.2
29,18,17,1,4.2
30,18,2,1,2.8
31,19,18,1,3.8
32,20,2,1,2.8
33,21,23,1,4.1
34,21,6,2,3.7
35,22,18,1,3.8
36,23,1,1,2.5
37,24,1,1,2.5
38,25,2,1,2.8
39,25,2,1,2.8
40,26,8,1,3.1
41,27,3,1,3.2
42,28,14,1,2.9
43,28,1,1,2.5
44,28,22,1,4.0
45,29,22,1,4.0
46,29,4,1,3.4
47,30,14,2,2.9
48,30,1,1,2.5
49,31,4,1,3.4
50,31,15,1,4.5
51,32,8,1,3.1
52,32,11,1,2.6
53,32,21,1,3.2
54,33,7,1,3.3
55,34,2,2,2.8
56,35,23,1,4.1
57,35,23,1,4.1
58,35,2,1,2.8
59,36,19,2,3.8
60,37,7,1,3.3
61,38,5,1,3.5
62,38,18,1,3.8
63,39,4,1,3.4
64,39,13,1,2.8
65,40,5,1,3.5
66,40,7,1,3.3
67,40,17,1,4.2
68,41,10,2,2.6
69,42,12,1,2.7
70,43,3,1,3.2
71,44,8,2,3.1
72,44,4,2,3.4
73,45,2,1,2.8
74,46,20,1,3.9
75,46,15,1,4.5
76,47,1,1,2.5
77,48,22,1,4.0
78,49,13,1,2.8
79,49,8,1,3.1
80,50,3,1,3.2
81,51,7,1,3.3
82,52,5,1,3.5
83,52,4,1,3.4
84,53,23,1,4.1
85,54,19,2,3.8
86,54,2,1,2.8
87,54,19,1,3.8
88,55,6,1,3.7
89,56,13,1,2.8
90,57,2,1,2.8
91,57,9,1,2.6
92,57,21,1,3.2
93,58,7,1,3.3
94,59,14,1,2.9
95,59,13,1,2.8
96,60,2,1,2.8
97,60,14,2,2.9
98,61,15,1,4.5
99,62,19,1,3.8
100,62,1,1,2.5
101,63,5,1,3.5
102,64,8,1,3.1
103,65,13,1,2.8
104,66,6,1,3.7
105,66,10,1,2.6
106,67,19,1,3.8
107,68,16,1,2.8
108,68,2,1,2.8
109,69,4,1,3.4
110,69,2,2,2.8
111,70,5,1,3.5
112,71,15,1,4.5
113,72,1,2,2.5
114,72,8,2,3.1
115,73,19,2,3.8
116,74,16,1,2.8
117,75,5,1,3.5
118,75,21,1,3.2
119,76,11,2,2.6
120,76,2,1,2.8
121,77,3,1,3.2
122,78,20,1,3.9
123,79,3,1,3.2
124,79,1,2,2.5
125,80,4,1,3.4
126,81,22,1,4.0
127,81,17,1,4.2
128,82,2,1,2.8
129,83,19,1,3.8
130,84,3,1,3.2
131,85,6,2,3.7
132,86,22,1,4.0
133,87,1,1,2.5
134,88,1,1,2.5
135,89,9,1,2.6
136,90,16,1,2.8
137,91,22,1,4.0
138,92,8,2,3.1
139,93,6,1,3.7
140,94,19,1,3.8
141,94,23,1,4.1
142,95,8,1,3.1
143,96,15,1,4.5
144,96,4,1,3.4
145,97,5,1,3.5
146,98,11,1,2.6
147,99,2,1,2.8
148,99,1,1,2.5
149,100,19,2,3.8
150,100,17,1,4.2
151,101,13,1,2.8
152,102,14,2,2.9
153,103,21,1,3.2
154,104,2,2,2.8
155,104,5,1,3.5
156,104,17,1,4.2
157,105,21,1,3.2
158,105,1,1,2.5
159,106,6,1,3.7
160,107,13,1,2.8
161,107,1,2,2.5
162,108,8,1,3.1
163,109,15,1,4.5
164,110,1,1,2.5
165,111,3,1,3.2
166,112,23,2,4.1
167,112,12,1,2.7
168,113,6,1,3.7
169,113,5,1,3.5
170,114,1,1,2.5
171,115,3,1,3.2
172,116,11,2,2.6
173,117,7,2,3.3
174,117,7,1,3.3
175,118,23,1,4.1
176,118,7,1,3.3
177,118,18,1,3.8
178,119,1,1,2.5
179,119,7,1,3.3
180,120,6,1,3.7
181,120,6,1,3.7
182,121,12,1,2.7
183,122,7,1,3.3
184,123,11,1,2.6
185,124,19,1,3.8
186,124,6,2,3.7
187,124,7,1,3.3
188,125,5,1,3.5
189,125,6,1,3.7
190,126,7,1,3.3
191,127,7,1,3.3
192,128,3,1,3.2
193,129,20,1,3.9
194,130,22,2,4.0
195,130,19,1,3.8
196,131,8,1,3.1
197,132,21,1,3.2
198,132,6,1,3.7
199,132,4,1,3.4
200,133,19,2,3.8
201,133,1,1,2.5
202,134,5,1,3.5
203,135,21,1,3.2
204,136,1,1,2.5
205,136,14,1,2.9
206,137,7,1,3.3
207,138,7,1,3.3
208,139,13,1,2.8
209,139,16,1,2.8
210,140,14,1,2.9
211,140,15,1,4.5
212,141,4,2,3.4
213,142,3,1,3.2
214,142,7,1,3.3
215,143,6,1,3.7
216,143,4,1,3.4
217,144,16,1,2.8
218,145,21,1,3.2
219,145,9,1,2.6
220,145,8,1,3.1
221,146,2,1,2.8
222,146,5,1,3.5
223,147,19,1,3.8
224,147,3,1,3.2
225,148,13,1,2.8
226,149,7,1,3.3
227,149,16,1,2.8
228,150,6,1,3.7
229,150,22,1,4.0
230,151,12,1,2.7
231,151,21,1,3.2
232,152,3,1,3.2
233,152,8,1,3.1
234,153,5,1,3.5
235,153,11,1,2.6
236,153,15,1,4.5
237,154,5,1,3.5
238,155,8,1,3.1
239,156,15,1,4.5
240,156,17,1,4.2
241,157,21,2,3.2
242,157,16,1,2.8
243,157,1,1,2.5
